BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET,NOR_DATA
K356,P.S. 156 - BROOKLYN,OTHER,819245,551
K364,I.S. 364 - BROOKLYN,OTHER,465200,313
K368,P.S. 159 - BROOKLYN,OTHER,10007604,6730
K369,COY L. COX SCHOOL,FLOOD,5128776,3449
K369,COY L. COX SCHOOL,OTHER,843576,567
K371,K371 SPED - BROOKLYN,OTHER,748398,503
K376,P.S. 376 - BROOKLYN,OTHER,730618,491
K377,P.S. 377 - BROOKLYN,OTHER,1106711,744
K383,I.S. 383 - BROOKLYN,OTHER,621377,418
K384,P.S. 384 - BROOKLYN,OTHER,904206,608
K390,M.S. 334 - BROOKLYN,OTHER,130360,88
K390,M.S. 354 - BROOKLYN,OTHER,8416402,5660
K391,I.S. 722 - BROOKLYN,OTHER,421395,283
K395,P.S. 109 - BROOKLYN,OTHER,1169269,786
K395,P.S. 109 - BROOKLYN,ROOF,4294276,2888
K396,K396 SPED - BROOKLYN,OTHER,2968414,1996
K397,P.S. 397 - BROOKLYN,OTHER,326000,219
K398,P.S. 398 - BROOKLYN,OTHER,1661045,1117
K398,P.S. 770 - BROOKLYN,OTHER,528000,355
K399,P.S. 399 - BROOKLYN,OTHER,5821709,3915
K405,MIDWOOD H.S.,OTHER,1123960,756
K405,MIDWOOD HS - BROOKLYN,OTHER,1174535,790
K406,MIDWOOD HS - BROOKLYN,OTHER,26976091,18141
K415,IT TAKES A VILLAGE ACADEMY - K,FLOOD,24491400,16470
K415,IT TAKES A VILLAGE ACADEMY - K,OTHER,3179500,2138
K415,KURT HAHN EXPED LEARNING SCH,ROOF,4124621,2774
K415,KURT HAHN EXPED LEARNING SCH -,OTHER,91000,61
K420,ACADEMY OF INNOV TECH - BROOKL,OTHER,634631,427
K420,BROOKLYN LAB SCHOOL - BROOKLYN,OTHER,303506,204
K420,CYPRESS HILLS COLLEGIATE - K,OTHER,1860530,1251
K420,MULTICULTURAL HS - BROOKLYN,FLOOD,40778781,27424
K420,MULTICULTURAL HS - BROOKLYN,OTHER,5335274,3588
K420,MULTICULTURAL HS - BROOKLYN,ROOF,1028,1
K420,THE URBAN ASSEMBLY SCHOOL FOR,OTHER,42212,28
K422,ACAD. FOR YOUNG WRITERS - K,OTHER,35000,24
K422,K053 SPED - BROOKLYN,OTHER,147574,99
K422,SPRING CREEK COMMUNITY SCHOOL,OTHER,93444,63
K425,JAMES MADISON HS,OTHER,8266147,5559
K425,JAMES MADISON HS - BROOKLYN,OTHER,3340060,2246
K430,BROOKLYN TECH HS - K,OTHER,62533468,42053
K430,BROOKLYN TECH HS - K,ROOF,25056901,16851
K431,BROOKLYN TECH HS - K,OTHER,8589391,5776
K435,FDNY - CAPTAIN VERNON A. RICHA,OTHER,197027,132
K435,HIGH SCHOOL FOR CIVIL RIGHTS -,OTHER,215000,145
K435,PERFORMING ARTS AND TECH. HS,OTHER,5331699,3586
K435,PERFORMING ARTS AND TECH. HS -,OTHER,564986,380
K435,PERFORMING ARTS AND TECH. HS -,ROOF,16305,11
K435,WORLD ACAD FOR COMMUNITY HEALT,OTHER,231434,156
K436,HIGH SCHOOL FOR CIVIL RIGHTS -,OTHER,58478,39
K437,M.S. 839 - BROOKLYN,OTHER,35000,24
K440,BROOKLYN HS FOR SCI & THE ENVI,OTHER,445336,299
K440,THE INTERNATIONAL HS - BKLYN,FLOOD,25171964,16928
K440,THE INTERNATIONAL HS - BROOKLY,OTHER,1135616,764
K445,NEW UTRECHT HS - BROOKLYN,OTHER,360077,242
K445,NEW UTRECHT HS - BROOKLYN,PENET,11937780,8028
K450,EAST WILLIAMSBURG SCHOLARS ACA,OTHER,162000,109
K450,"HS OF ENTERPRISE, BUS. & TECH.",OTHER,262780,177
K450,PROGRESS HS - K,OTHER,1398798,941
K450,PROGRESS HS - K,ROOF,62595917,42095
K451,PROGRESS HS - K,OTHER,1498869,1008
K455,BOYS & GIRLS HS - BROOKLYN,OTHER,5830774,3921
K456,BOYS & GIRLS HS - BROOKLYN,OTHER,567646,382
K458,BED-STUYVESANT PREPARATORY HS,ROOF,11520145,7747
K458,BROOKLYN ACADEMY HS - BROOKLYN,OTHER,11170815,7512
K458,LEADERSHIP PREP CHARTER - K,OTHER,345287,232
K460,CYBERARTS STUDIO ACADEMY - K,OTHER,129052,87
K460,MILLENIUM BROOKLYN HIGH SCHOOL,OTHER,69737,47
K460,PARK SLOPE COLLEGIATE - K,OTHER,35000,24
K460,SECONDARY SCHOOL FOR LAW - K,OTHER,10297284,6925
K465,CAMPUS ACAD. FOR BUS. & TECH.,OTHER,170000,114
K465,ERASMUS YABC,OTHER,102344,69
